geoid,Excess Housing Costs,Married Couple HH,Single Male HH,Single Female HH,Poverty,With Insurance,Without Insurance,Edu <9th Grade,"Education 9th to 12th Grade, No Diploma (2020-2024)",Edu High School,Edu Some College,Edu Associate,Edu Bachelors,Edu Graduate,Lead Paint EJI,Drinking Water NC,Drinking Water EJI,MH Providers Male,MH Providers Female,MH Providers Total,Total HC Workers,MH Provider Ratio,Poor Mental Health %,City,pop_proxy,weight_norm,poverty_rate,housing_cost_rate,grad_edu_rate,married_hh_rate,single_female_hh_rate,uninsured_rate
3900820,1123.0918,2053.1591,378.8796,336.3818,628.2494,9550.3956,489.7295,87.2837,428.1503,2368.8338,1797.5995,568.7095,1148.6734,711.7622,32.4542,0.0,0.0,6,27,33,717,309.03,17.8467,Columbus,10040.1251,0.003954305355546058,0.0625676299959653,0.11184919905041318,0.07088470593798299,0.2044750044992468,0.03350040923202919,0.04877237312778824
3902509,796.1253,258.2441,216.4559,347.6892,730.068,2939.6493,286.8267,106.5134,176.7225,1055.5902,472.4409,85.6076,205.4296,39.2905,177.0037,0.0,0.0,22,40,62,1074,52.46,21.7364,Columbus,3226.476,0.0012707482426031547,0.2262040058547298,0.24667117586621867,0.012173754351697735,0.08001425882020502,0.10772789634996512,0.08887028129721182
3902511,656.0344,779.9291,218.9021,268.2036,1184.5294,4225.9773,725.8043,184.146,334.1663,1618.8244,778.2728,184.1009,332.8045,121.5822,116.2289,0.0,0.0,12,38,50,500,99.33,20.6992,Columbus,4951.781599999999,0.0019502602114364516,0.23916447274800084,0.13245776878189017,0.024548265968360086,0.15747294409266907,0.05415211524772262,0.14654478202713403
3902508,972.7615,425.4572,492.2454,539.3887,663.9055,5130.0905,1006.6389,106.3085,320.0993,1874.6074,687.6473,271.8844,494.1462,72.7095,180.0103,0.0,0.0,18,30,48,179,127.89,21.8074,Columbus,6136.7294,0.0024169521485301955,0.10816793259083725,0.15848882161536804,0.0118463189335131,0.0693183378204976,0.08788082120401071,0.1640083546205214
3902231,619.1694,1114.4143,63.9684,381.8413,373.7698,5608.5567,121.5014,30.291,488.3347,2092.1636,1506.7754,558.9731,1209.0939,342.6945,7.2561,0.9989,32.6568,6,1,7,145,1144.21,19.0983,Columbus,5730.0581,0.002256784572576697,0.0652182883994842,0.10803753673340007,0.05979602614742293,0.19445175403124945,0.06662666707217642,0.021200517928792243
3902229,605.8764,1170.7099,165.4427,172.4003,616.8526,5947.0939,329.8947,29.3335,186.7937,1386.2337,1044.8093,546.6884,868.828,396.4234,51.6931,1.0,59.2511,0,8,8,94,797.44,17.9258,Columbus,6276.9886,0.0024721932635761233,0.0982564065184827,0.09650804399358101,0.06314496971211449,0.1864785004547476,0.027461072484266696,0.05254783355293127
3902247,643.3855,1334.2607,120.7059,244.5147,543.2424,5772.1805,197.7581,39.0601,215.6569,1327.2239,820.6298,338.9448,1023.3146,374.5476,32.5493,0.9998,56.4217,5,29,34,471,178.89,17.2293,Columbus,5969.9386,0.0023512615573147723,0.09098107289195705,0.10775282465641163,0.06272842932935199,0.22345912249039038,0.04095079791977763,0.03312010275905366
3902248,204.6795,1365.3331,179.0908,303.5984,38.1113,6929.9027,190.0,27.0674,0.5671,1184.7914,927.1364,376.7122,1537.4044,565.1979,1.3756,1.0,19.4794,0,0,0,55,544.55,17.1,Columbus,7119.9027,0.0028041751568988753,0.00535203212368005,0.028743476581978854,0.0793716644941659,0.19173595785826425,0.04263481931862375,0.026682010414213357
3902753,515.5897,801.3097,58.3556,459.9374,505.8514,4406.7131,186.4442,68.1424,128.7405,1140.0882,870.4835,206.4613,509.0845,341.2506,36.371,0.0,0.0,0,2,2,44,2324.86,17.8824,Columbus,4593.1573,0.0018090159564102912,0.11010754899489403,0.11222726309349486,0.07427925900578111,0.17441929992253422,0.10011355074846916,0.040582894277477174
3902754,313.3293,984.6465,122.8235,184.1969,175.2163,4603.9318,140.1648,108.9609,162.8238,1022.6904,631.8176,228.71,695.7244,377.7012,12.6436,0.0,0.0,0,2,2,72,2397.92,15.88,Columbus,4744.096600000001,0.001868463431059026,0.03692576037335045,0.06603222787919638,0.07959821091945735,0.20750820963265526,0.03881836673251288,0.029538871769228047
